llevaba;20
control;20
sacó;20
silla;20
guardias;20
haciendo;20
acercarse;20
demonios;20
pie;20
propio;20
rubio;20
dedos;20
grupo;20
dentro;20
poner;20
apenas;20
salieron;20
muchos;20
centro;20
hermano;19
posible;19
ti;19
mío;19
eres;19
padres;19
escuchaba;19
sentido;19
documentos;19
garganta;19
niña;19
están;19
caja;19
vosotros;19
cerrar;19
cuello;19
mal;19
sería;19
luis;19
ellas;19
sabes;19
vueltas;19
muchas;19
alas;19
gesto;19
parece;19
ansoff;19
levantarse;19
llegado;19
comenzado;19
sitio;18
sol;18
pensando;18
puño;18
llave;18
preguntas;18
animal;18
va;18
seguir;18
miraron;18
velocidad;18
bosque;18
consiguió;18
gritos;18
párroco;18
ondas;18
podido;18
fuerte;18
visión;18
esfera;18
rubén;18
entender;18
mochila;18
martín;18
hacerlo;18
alfonso;18
exterior;18
estómago;18
frío;18
escena;18
concentró;18
nueva;18
realidad;18
pensar;18
última;18
rara;18
señor;18
situación;17
puso;17
papel;17
ojo;17
anterior;17
chicas;17
mitad;17
llamó;17
monstruo;17
creerlo;17
simplemente;17
dios;17
calor;17
voces;17
inglés;17
arma;17
llamas;17
estoy;17
aquellos;17
andar;17
demasiado;17
imagen;17
iglesia;17
dado;17
encuentro;17
supo;17
siento;17
unas;17
intentaba;17
moverse;17
familia;17
grito;17
clase;17
vistazo;17
temblar;16
hoy;16
cuanto;16
ayuda;16
dedo;16
voy;16
piedras;16
comprobar;16
plantas;16
convertido;16
estamos;16
tuvo;16
silueta;16
tenían;16
recorriendo;16
decirle;16
quieres;16
primer;16
ventana;16
respuesta;16
sosteniendo;16
movió;16
jóvenes;16
seguro;16
debes;16
sonriendo;16
lejos;16
fuente;16
acercaba;16
sonreía;16
sentó;16
capaz;16
tierra;16
ningún;16
conocía;15
atención;15
vuestro;15
cristal;15
destino;15
comprender;15
oídos;15
correr;15
cuerpos;15
papeles;15
paró;15
comenzar;15
alrededor;15
estuvo;15
pasaban;15
encontrar;15
golpeó;15
dientes;15
autobús;15
pidió;15
celda;15
pared;15
rápido;15
sintiendo;15
pensamientos;15
prosiguió;15
vecinos;15
daba;15
dinero;15
pájaro;15
planta;15
dando;15
extraña;15
vas;15
igual;14
beso;14
ninguno;14
futuro;14
además;14
sostuvo;14
aspecto;14
crear;14
dándole;14
superficie;14
sea;14
cuidado;14
dejado;14
cruz;14
aterrado;14
recordó;14
devolvía;14
súbito;14
llevado;14
torneo;14
primero;14
siguiente;14
hombres;14
tener;14
caras;14
recordar;14
vuelvo;14
marido;14
heridas;14
moviendo;14
curiosidad;14
árboles;14
cabo;14
meses;14
anciano;14
blanco;14
serio;14
muñeca;14
espejo;14
otras;14
fuerza;14
suerte;14
encima;14
proveniente;14
concentrarse;14
tez;14
evitar;14
mira;14
calles;14
piernas;14
ocurre;14
raro;14
karim;13
cualquier;13
dormir;13
completo;13
fabien;13
plan;13
sostenía;13
verlo;13
sorpresa;13
objeto;13
estatua;13
conseguir;13
ciudad;13
suficiente;13
ido;13
puñetazo;13
apareció;13
quiso;13
nervioso;13
oculto;13
llorar;13
muchacho;13
hubiera;13
darse;13
nuestra;13
buena;13
vieja;13
lleno;13
comida;13
baño;13
viendo;13
quedaba;13
siquiera;13
oportunidad;13
ponerse;13
cierto;13
movía;13
amiga;13
llevó;13
imposible;13
sentado;13
único;12
tantos;12
crees;12
maldito;12
viaje;12
decía;12
debajo;12
azrael;12
descubrir;12
herida;12
elevar;12
elevando;12
cuya;12
terror;12
rió;12
negó;12
diez;12
sofá;12
lanzando;12
salía;12
peligro;12
duelo;12
ascender;12
algunos;12
abrazo;12
pasando;12
energía;12
Ángel;12
agarró;12
fijamente;12
intentar;12
techo;12
caso;12
azul;12
contado;12
plaza;12
rugió;12
sammy;12
ninguna;11
soy;11
alzó;11
pasa;11
aquello;11
muchachos;11
escucharon;11
asustado;11
puesto;11
señal;11
preguntar;11
empezó;11
perdido;11
placer;11
disfrutar;11
cuyo;11
perder;11
cola;11
tendría;11
secreto;11
ropa;11
dime;11
visiones;11
acercaron;11
vuelve;11
acercándose;11
digo;11
preocupes;11
hicieron;11
acabado;11
esperó;11
estos;11
habéis;11
infierno;11
minutos;11
corría;11
altura;11
vino;11
busca;11
falta;11
recuerdo;11
abrieron;11
existe;11
distintas;11
tratar;11
reloj;11
amor;11
culpa;11
semana;11
ayer;11
botella;11
mejilla;11
descansaba;11
perdió;11
verano;11
repleto;11
dirigió;11
aprendiz;10
portón;10
conducido;10
felicidad;10
café;10
encontrado;10
maldita;10
extraños;10
entrado;10
prometió;10
arder;10
contemplar;10
condujo;10
conocer;10
cuándo;10
bajar;10
miedo;10
coger;10
contemplando;10
llama;10
tamaño;10
mejores;10
claridad;10
mamá;10
muerto;10
pobre;10
peldaños;10
despidió;10
permanecía;10
guardia;10
sorprendió;10
pareció;10
mandó;10
eterna;10
tremendo;10
libros;10
aires;10
parado;10
trato;10
trata;10
pudiera;10
lados;10
decenas;10
dejaron;10
humana;10
pequeñas;10
recordando;10
pistola;10
colocaron;10
vaso;10
vieron;10
tipo;10
cercano;10
estrellas;10
intensidad;10
bola;10
dice;10
rompió;10
levantaron;10
viene;10
blanca;10
ritmo;10
ganas;10
observado;10
cambiar;10
semanas;10
ascendió;10
verdadero;10
ahí;10
tenemos;10
miradas;10
buenas;10
propia;10
barbilla;10
podían;10
oír;10
grande;10
treinta;10
mentales;10
pensaba;10
hola;9
cofre;9
guerra;9
verde;9
dejando;9
pierna;9
recogió;9
sabéis;9
rojiza;9
lanzar;9
subió;9
salto;9
extendió;9
francés;9
niños;9
jaguar;9
morir;9
marcharse;9
bala;9
presión;9
escuchando;9
violentamente;9
soltó;9
realizar;9
pasaba;9
adentró;9
explicaré;9
iban;9
preparado;9
habitaciones;9
buen;9
repletos;9
miraban;9
existencia;9
izquierda;9
cabezas;9
rodeado;9
torres;9
anduvo;9
llamado;9
pueda;9
usar;9
colocado;9
vislumbrar;9
añadió;9
bar;9
ocultos;9
nudo;9
repletas;9
alto;9
mansión;9
poca;9
venido;9
tomando;9
temprano;9
miles;9
alcanzar;9
arte;9
volviera;9
idea;9
vibrar;9
nuestro;9
desaparecido;9
misiones;9
alegría;9
maleta;9
hacerse;9
empezado;9
poniendo;9
partes;9
oscuros;9
primeros;9
lago;9
español;9
descender;9
libro;9
selva;9
espaldas;9
llegaron;9
esfuerzo;9
horrorizado;9
ave;9
repleta;9
sonreír;9
tenido;9
pablo;9
mineral;9
sola;9
marcha;9
estación;9
cuento;9
movimiento;9
sorprendido;9
repetía;9
van;9
separó;8
sonriente;8
tren;8
nuevos;8
llevando;8
máscara;8
importancia;8
anne;8
cayeron;8
colocar;8
risas;8
entrada;8
tienen;8
cuestionó;8
cerebro;8
corriente;8
centena;8
adentrarse;8
diferente;8
rodillas;8
puños;8
suspiró;8
magia;8
tardó;8
contigo;8
potencial;8
dijeron;8
inconsciente;8
agradable;8
banco;8
muerte;8
preocupación;8
aplaudir;8
frase;8
viejo;8
solamente;8
ocurriendo;8
pulmones;8
llevo;8
principal;8
cien;8
alguno;8
encerrado;8
finalizó;8
conseguía;8
real;8
mismos;8
todavía;8
mover;8
horror;8
Éste;8
broma;8
señora;8
claro;8
querido;8
cogiendo;8
suyo;8
quedaban;8
hombros;8
bajando;8
vuestros;8
rostros;8
cartas;8
lágrima;8
armario;8
llamar;8
pareja;8
cansancio;8
cenar;8
veneno;8
cueva;8
ello;8
llevaban;8
esperaba;8
villa;8
alta;8
espera;8
través;8
azules;8
parroquia;8
necesito;8
acercara;8
seres;8
demonio;8
cocina;8
brisa;8
sacar;8
observaban;8
habría;8
llevar;8
colocarse;8
pequeños;8
líquido;8
hubo;8
duro;8
anduvieron;8
baltasar;8
contemplaba;8
hospital;8
hacerle;8
vestido;8
manera;8
gusta;8
moviéndose;8
recordaba;8
propios;8
mantenía;8
hilo;8
cambió;8
lanzaba;8
reía;8
habrá;8
recuperar;8
fuerzas;8
completamente;8
sentimientos;8
antoine;8
dije;8
entraron;8
desconocido;8
dieron;8
habitantes;8
mediante;7
única;7
nervios;7
sanguijuelas;7
faltaba;7
incluso;7
desaparecer;7
palma;7
ven;7
jardines;7
agentes;7
juro;7
cartón;7
allá;7
raros;7
siendo;7
pensado;7
viento;7
alado;7
propias;7
oído;7
asientos;7
lumbre;7
hablaban;7
lograr;7
observaron;7
nombres;7
prisionero;7
seriedad;7
error;7
recorrer;7
verdes;7
tranquilamente;7
loco;7
lugares;7
escuchado;7
veremos;7
podrá;7
terminar;7
lejano;7
golpear;7
panda;7
dejaba;7
total;7
vete;7
enfrente;7
salvar;7
comportamiento;7
dulce;7
halo;7
eh;7
mónica;7
misterioso;7
disparo;7
sois;7
pertenecía;7
tirado;7
dibujo;7
sueño;7
calma;7
llevarlo;7
kilómetros;7
trozo;7
hacían;7
descubierto;7
sombra;7
tocar;7
necesita;7
tendido;7
acariciar;7
colmillos;7
eco;7
suya;7
humano;7
llamada;7
extrañado;7
apretó;7
tomado;7
afilados;7
golpes;7
juguetes;7
difícil;7
contó;7
decidieron;7
leche;7
espero;7
volviendo;7
paz;7
poseía;7
sobresaltó;7
desprendía;7
escondido;7
alma;7
preparaos;7
estáis;7
dándose;7
profesor;7
movimientos;7
cuál;7
cura;7
viró;7
debemos;7
cansado;7
veía;7
llanto;7
quiere;7
diciendo;7
respiración;7
risa;7
protagonista;7
dirigía;7
diera;7
intentado;7
comprendió;7
sentados;7
descendió;7
esperar;7
limitó;7
vivir;7
caído;7
acercando;7
inmutarse;7
ruidos;7
abrigo;7
feliz;7
peligroso;7
fórmula;7
funcionar;7
obra;7
volvía;7
abierta;7
haga;7
quedando;7
hierba;7
vaya;7
rezaba;7
bolsillos;7
adelante;7
respirar;7
romper;6
sujetando;6
debe;6
práctica;6
ola;6
abrazó;6
rieron;6
caos;6
provocado;6
jugando;6
mucha;6
reiteradamente;6
rojizo;6
clases;6
tranquilidad;6
viera;6
subir;6
cometido;6
bromas;6
quitó;6
habilidades;6
esquina;6
preguntaba;6
salvo;6
tomar;6
ayudó;6
menuda;6
señas;6
amada;6
soportar;6
caminos;6
estiró;6
alejado;6
despertar;6
vacío;6
quemaduras;6
durmiendo;6
vayas;6
desayunar;6
trayecto;6
tantas;6
deberías;6
gritaba;6
escasos;6
hiciera;6
apartó;6
estanterías;6
saliendo;6
cruzó;6
quedarse;6
presentes;6
repente;6
razón;6
lluvia;6
encontraron;6
marchado;6
increíble;6
contrario;6
medio;6
ordenó;6
vagabundos;6
semejante;6
escorpión;6
limpio;6
cayendo;6
nuestros;6
aprendizaje;6
dibujos;6
despacho;6
siguiendo;6
cual;6
intención;6
platos;6
disponía;6
lecciones;6
cena;6
rota;6
habló;6
concentración;6
imaginó;6
batir;6
cariño;6
escapar;6
queréis;6
bonito;6
continuación;6
aparecer;6
haces;6
hiciste;6
chorro;6
pusieron;6
aumento;6
acantilado;6
inerte;6
malas;6
escalofrío;6
escoger;6
maestra;6
gota;6
aventura;6
podrás;6
saboreando;6
disparado;6
sensación;6
bestia;6
vale;6
quieto;6
descansar;6
oficina;6
pleno;6
contarte;6
corrían;6
trémula;6
arreglar;6
ocurra;6
acción;6
tejados;6
fuertes;6
respiró;6
negro;6
tendrá;6
lengua;6
llaves;6
sigue;6
asintieron;6
vencedor;6
pizarra;6
seis;6
aguijón;6
aprendido;6
portaba;6
orilla;6
naturaleza;6
dormitorio;6
verdadera;6
fácil;6
aquellas;6
hagas;6
sonrío;6
calmar;6
aprender;6
vivo;6
estruendo;6
susurró;6
saltar;6
concentrada;6
concentrado;6
televisión;6
escapaba;6
girar;6
permiso;6
señaló;6
mirándole;6
agachó;6
notario;6
vislumbró;6
caliente;6
proporcionado;6
odio;6
edificación;6
oh;6
usted;6
conocimiento;6
uñas;6
sendero;6
miro;6
saliera;6
relato;6
abrirse;6
agujero;6
absolutamente;6
animales;6
corrieron;6
creado;6
rojo;6
gafas;6
sonidos;6
echar;6
decena;6
instante;6
bajaron;6
dudas;6
distintos;6
señalando;6
tímida;5
asentir;5
movido;5
inocentes;5
rogó;5
victoria;5
vacaciones;5
debo;5
sorprendieron;5
entero;5
gustaba;5
encontramos;5
orgulloso;5
reírse;5
problemas;5
tuviera;5
principio;5
callaron;5
ofreció;5
paciencia;5
venir;5
observo;5
normalidad;5
habilidad;5
detuvo;5
perfectamente;5
luces;5
recorrido;5
tristeza;5
conoces;5
mirarse;5
entendió;5
apartar;5
rumores;5
imaginar;5
tonta;5
mirara;5
comenzando;5
nerviosamente;5
aplausos;5
escrito;5
genial;5
cállate;5
mismas;5
llamo;5
verla;5
vuestra;5
permaneció;5
suceso;5
tejado;5
salvaje;5
pocas;5
decidido;5
vi;5
infinito;5
salvado;5
impactó;5
hacerme;5
policía;5
mantequilla;5
clavó;5
da;5
agresor;5
despedirse;5
campo;5
queda;5
querías;5
barriga;5
irme;5
creciendo;5
incrédulo;5
cosa;5
apagó;5
quedar;5
francesa;5
espinas;5
recoger;5
sabían;5
volar;5
blanquecino;5
estas;5
convertirse;5
misteriosa;5
comer;5
farolas;5
verás;5
sáez;5
desapareció;5
separaban;5
crucifijo;5
siguientes;5
veinte;5
entendido;5
sitios;5
llenos;5
juego;5
parecer;5
imaginado;5
contarle;5
bolsa;5
leyendo;5
tranquilo;5
mármol;5
visita;5
olas;5
quedé;5
perplejo;5
rodeada;5
angustia;5
hipnotizado;5
yendo;5
desarrollar;5
héroe;5
preparó;5
dejaré;5
parecido;5
envuelta;5
hijos;5
colchón;5
resto;5
saludó;5
aceleró;5
asiente;5
conseguirlo;5
ganando;5
vemos;5
momentos;5
negar;5
idiomas;5
vuelo;5
provenía;5
viste;5
enseñado;5
somos;5
comienzo;5
duda;5
chillidos;5
venganza;5
cantidad;5
normandía;5
conoce;5
vagabundo;5
boquiabierto;5
olvidar;5
actividad;5
tercer;5
frenar;5
reacción;5
celestial;5
escabulló;5
u;5
bangor;5
edificios;5
pantalón;5
acabaría;5
polvo;5
paseando;5
anciana;5
vociferar;5
cogido;5
nube;5
carne;5
preocupado;5
restaurante;5
fui;5
pensarlo;5
ocurrir;5
centímetros;5
sábanas;5
ataques;5
callejón;5
instrucción;5
llegaba;5
quedara;5
cansada;5
brillaba;5
curiosas;5
topó;5
diablo;5
dura;5
balas;5
desconocía;5
estallar;5
cuarenta;5
flores;5
levantándose;5
copas;5
largamente;5
cortó;5
sufriendo;5
verte;5
paseaba;5
arrastrando;5
hambre;5
dirigían;5
descanso;5
mentis;5
ambas;5
reverencia;5
búsqueda;5
edad;5
dormido;5
ilusión;5
vital;5
leve;5
asesinato;5
haberse;5
enfrentarse;5
perdón;5
reaccionó;5
pulmón;5
salida;5
creó;5
sudor;5
temblando;5
escapó;5
público;5
participantes;5
afueras;5
viajó;5
devolvió;5
guardó;5
mantener;5
trató;5
alcohol;5
acostumbrado;5
guiñándole;5
creía;5
latir;5
continuó;5
hablado;5
decantó;5
llevaron;5
pitido;5
montón;5
aguantar;5
vivía;5
combates;5
raras;5
víctima;5
lámpara;4
cerrada;4
costado;4
arrodilló;4
tenéis;4
hablaba;4
aplaudieron;4
látigo;4
haya;4
menudo;4
plato;4
vais;4
formas;4
mujeres;4
agarrar;4
equipaje;4
bellos;4
salían;4
preparando;4
entera;4
haz;4
preguntarle;4
dolorido;4
vencedora;4
irse;4
ves;4
veo;4
arremeter;4
mismísimo;4
despertó;4
